가요,이루어질 수 없는 사랑,너의 침묵에 메마른 나의 입술,C,"너의 침묵에 메마른 나의 입술
차가운 네 눈길에 얼어붙은 내 발자욱
돌아서는 나에게 사랑한단 말 대신에
안녕 안녕 목메인 그 한마디
이루어질 수 없는 사랑이었기에

밤새워 하얀 길을 나홀로 걸었었다
부드러운 네 모습은 지금은 어디에
가랑비야 내 얼굴을 더 세게 때려다오
슬픈 내 눈물이 감춰질 수 있도록
이루어질 수 없는 사랑이었기에

미워하며 돌아선 너를 기다리며
쌓았다가 부수고 또 쌓은 너의 성
부서지는 파도가 삼켜버린 그 한마디
정말 정말 너를 사랑했었다고
이루어질 수 없는 사랑이었기에"
가요,이름 모를 소녀,버들잎 따다가 연못 위에 띄워 놓고,C G Am F,"버들잎 따다가 연못 위에 띄워 놓고
쓸쓸히 바라보는 이름 모를 소녀
밤은 깊어 가고 산새들은 잠들어
아무도 찾지 않는 조그만 연못 속에
달빛 젖은 금빛 물결 바람에 이누나
출렁이는 물결 속에 마음을 달래려고
말없이 기다리다 쓸쓸히 돌아서서
안개 속에 떠나가는 이름 모를 소녀

밤은 깊어 가고 산새들은 잠들어
아무도 찾지 않는 조그만 연못 속에
달빛 젖은 금빛 물결 바람에 이누나
출렁이는 물결 속에 마음을 달래려고
말없이 기다리다 쓸쓸히 돌아서서
안개 속에 떠나가는 이름 모를 소녀"
가요,이사가던날,이사가던날 옆집아이 돌이는 각시되어 놀던 나를,C G Am F,"이사 가던 날 뒷집 아이 돌이는
각시되어 놀던 나와 헤어지기 싫어서
장독 뒤에 숨어서 하루를 울었고
탱자나무 꽃잎만 흔들었다네

지나버린 어린 시절 그 어릴 적 추억은
탱자나무 울타리에 피어오른다

이사 가던 날 뒷집 아이 돌이는
각시되어 놀던 나와 헤어지기 싫어서
지나버린 어린 시절 그 어릴 적 추억은
탱자나무 울타리에 피어오른다

이사 가던 날 뒷집 아이 돌이는
각시되어 놀던 나와 헤어지기 싫어서
헤어지기 싫어서 헤어지기 싫어서"
가요,인어 이야기,노을빛이 물드는 바닷가에서 금빛머리 쓰다듬던,Dm,"노을빛이 물드는 바닷가에서
금빛 머리 쓰다듬던 어떤 소녀가
울먹이는 가슴을 물에 던지며
그리운 그 사람을 기다리다가
인어가 되었다네 꿈이 변하여
인어가 되었다는 슬픈 이야기

바람 따라 철썩이는 물결 소리에
타버린 고운 꿈은 재가 되어도
마음은 그 바다를 떠나지 않고
영원히 누군가를 기다리면서
인어가 되었다네 꿈이 변하여
인어가 되었다는 슬픈 이야기

인어가 되었다네 꿈이 변하여
인어가 되었다는 슬픈 이야기"
가요,일기,물소리 까만밤 반닷물 무리 그날이 생각나,C,"물소리 까만 밤 반딧불 무리
그날이 생각나 눈감아 버렸다
검은 머리 아침 이슬 흠뻑 받으며
아스라이 멀 때까지 달려가던 사람
나도 같이 따라가면 안 될 길인가
나도 같이 따라가면 안 되나
오늘 밤 일기에는 이렇게 쓴다
아직도 그 아침이 밉기만 하다고

은하수 한편에 그려지는 얼굴
차라리 잊으려 눈감아 버렸다
싸늘한 새벽바람 흔들리는 잎새들
그 사람 가는 길에 대신해준 손짓처럼
나도 같이 따라가면 안 될 길인가
나도 같이 따라가면 안 되나
오늘 밤 일기에는 이렇게 쓴다
아직도 그 아침이 밉기만 하다고"
가요,잃어버린 우산,안개비가 하얗게 내리던 밤 그대 사는 작은 섬으로,Am,"안개비가 하얗게 내리던 밤
그대 사는 작은 섬으로 나를 이끌던 날부터
그대 내겐 단 하나 우산이 되었지만
지금 빗속으로 걸어가는 나는 우산이 없어요

이젠 지나버린 이야기들이 내겐 꿈결 같지만
하얀 종이 위에 그릴 수 있는 작은 사랑이어라
잊혀져 간 그날의 기억들은
지금 빗속으로 걸어가는 내겐 우산이 되리라

이젠 지나버린 이야기들이 내겐 꿈결 같지만
하얀 종이 위에 그릴 수 있는 작은 사랑이어라
잊혀져 간 그날의 기억들은
지금 빗속으로 걸어가는 내겐 우산이 되리라"
가요,잊혀진 계절,지금도 기억하고 있어요 시월의 마지막 밤을,C G Am F,"지금도 기억하고 있어요
시월의 마지막 밤을
뜻모를 이야기만 남긴 채
우리는 헤어졌지요

그날의 쓸쓸했던 표정이
그대의 진실인가요
한마디 변명도 못하고
잊혀져야 하는 건가요

언제나 돌아오는 계절은
나에게 꿈을 주지만
이룰 수 없는 꿈은 슬퍼요
나를 울려요"
가요,작은 연못,깊은산 오솔길옆 자그마한 연못에,C,"깊은 산 오솔길 옆 자그마한 연못엔
지금은 더러운 물만 고이고 아무것도 살지 않지만
먼 옛날 이 연못엔 예쁜 붕어 두 마리
살고 있었다고 전해지지요 깊은 산 작은 연못

어느 맑은 여름날 연못 속에 붕어 두 마리
서로 싸워 한 마리는 물 위에 떠오르고
그놈 살이 썩어 들어가 물도 따라 썩어 들어가
연못 속에선 아무것도 살 수 없게 되었죠

깊은 산 오솔길 옆 자그마한 연못엔
지금은 더러운 물만 고이고 아무것도 살지 않죠

푸르던 나뭇잎이 한 잎 두 잎 떨어져
연못 위에 작은 배 띄우다가 깊은 속에 가라앉으면
집 잃은 꽃사슴이 산속을 헤매다가
연못을 찾아와 물을 마시고 살며시 잠들게 되죠

해는 서산에 지고 저녁 산은 고요한데
산허리로 무당벌레 하나 휘익 지나간 후에
검은 물만 고인 채 한없는 세월 속을
말없이 몸짓으로 헤매다 수많은 계절을 맞죠

깊은 산 오솔길 옆 자그마한 연못엔
지금은 더러운 물만 고이고 아무것도 살지 않죠"
가요,작은새,고요한 밤하늘에 작은 구름 하나가,Am,"고요한 밤하늘에 작은 구름 하나가
바람결에 흐르다 머무는 그곳에는
길 잃은 새 한 마리 집을 찾는다

세상은 밝아오고 달마저 기우는데
수만리 먼 하늘을 날아가려나
가엾은 작은 새는 남쪽 하늘로
그리운 집을 찾아 날아만 간다

(후렴)
뚜뚜루뚜루 뚜루루 뚜뚜루뚜루 뚜루루
뚜뚜루뚜루 뚜루루 뚜뚜루뚜루 뚜루루

세상은 밝아오고 달마저 기우는데
수만리 먼 하늘을 날아가려나
가엾은 작은 새는 남쪽 하늘로
그리운 집을 찾아 날아만 간다"
가요,장미,당신에게선 꽃내음이 나네요,C,"당신에게선 꽃내음이 나네요
잠자는 나를 깨우고 가네요
싱그런 잎사귀 돋아난 가시처럼
어쩌면 당신은 장미를 닮았네요

당신의 모습이 장미꽃 같아
당신을 부를 때 당신을 부를 때
장미라고 할래요

당신에게선 꽃내음이 나네요
잠 못 이룬 나를 재우고 가네요
어여쁜 꽃송이 가슴에 꽂으면
동화 속 왕자가 부럽지 않아요

당신의 모습이 장미꽃 같아
당신을 부를 때 당신을 부를 때
장미라고 할래요

당신에게선 꽃내음이 나네요
잠자는 나를 깨우고 가네요
싱그런 잎사귀 돋아난 가시처럼
어쩌면 당신은 장미를 닮았네요
어쩌면 당신은 장미를 닮았네요
어쩌면 당신은 장미를 닮았네요"
가요,저 별과 달을,어두운 밤 구름위에 저 달이 뜨면 괜시리 날 찾아와,C,"어두운 밤 구름 위에 저 달이 뜨면
괜시리 날 찾아와 울리고 가네
그 누가 만들었나 저 별과 달을
고요한 밤이 되면 살며시 찾아와
님 그리워 하는 맘 알아나 주는 듯이
하늘나라 저 멀리서 나를 오라 반짝이네

어두운 밤 구름 위에 저 달이 뜨면
괜시리 날 찾아와 울리고 가네
그 누가 만들었나 저 별과 달을
고요한 밤이 되면 살며시 찾아와
님 그리워 하는 맘 알아나 주는 듯이
하늘나라 저 멀리서 나를 오라 반짝이네
나를 오라 반짝이네
나를 오라 반짝이네"
가요,젊었다,외롭던 사람아 너와나는 눈물을 보이지 말자,D A7,"외롭던 사람아 너와 나는 눈물을 보이지 말자
비바람 치던 날 너와 나는 뜨겁게 두 손을 잡았다
그대여 그대여 가진 것 없는 우리들
그러나 젊었다 너와 나는 태양처럼 젊었다"
가요,젊은 태양,햇빛쏟는 거리에선 그대 그대 고독을 느껴보았나,Am,"햇빛 쏟는 거리에선 그대 그대 고독을 느껴보았나
그대 그대 우리는 너나없는 이방인 왜 서로를 사랑하지 않나
햇빛 쏟는 하늘보며 웃자 웃자 외로움 떨쳐버리고
웃자 웃자 우리는 너나없는 나그네 왜 서로를 사랑하지 않나

종소리 바람소리 고이고이 잠들던 날
먼 하늘에 저 태양이 웃는다

햇빛 쏟는 거리에선 그대 그대 고독을 느껴보았나
그대 그대 우리는 너나없는 나그네 왜 서로를 사랑하지 않나

모진 바람 거센 파도 가슴 속에 몰아쳐도
먼 하늘에 저 태양이 웃는다

햇빛 쏟는 거리에선 그대 그대 고독을 느껴보았나
그대 그대 우리는 너나없는 이방인 왜 서로를 사랑하지 않나
햇빛 쏟는 하늘보며 웃자 웃자 외로움 떨쳐버리고
웃자 웃자 우리는 너나없는 나그네 왜 서로를 사랑하지 않나
왜 서로를 사랑하지 않나 왜 서로를 사랑하지 않나"
가요,젊음아,강물이 흘러가는 곳에 희망이 흐르고,C,"강물이 흘러가는 곳에 희망이 흐르고
바람이 불어오는 곳에 사랑이 흐르네
젊음아 젊음아 나의 젊음아
영원히 변치말자 나의 젊음아"
